Finalist ID,City,GDP,City Population,Year,Sport,Champion Status
,,,,,,
0,Tuscaloosa,9982761.25,210736,2020,CF,TRUE
,,,,,,
1,Tuscaloosa,9495727,207849,2017,CF,TRUE
,,,,,,
2,Tuscaloosa,8970652,204953,2015,CF,TRUE
,,,,,,
3,Tuscaloosa,9256781,198884,2012,CF,TRUE
,,,,,,
4,Tuscaloosa,9673797,196788,2011,CF,TRUE
,,,,,,
5,Tuscaloosa,8492527,184953,2009,CF,TRUE
,,,,,,
6,Tuscaloosa,9774300,208607,2018,CF,FALSE
,,,,,,
7,Tuscaloosa,9116249,206737,2016,CF,FALSE
,,,,,,
8,Los Angeles,714493703.5,9968969,2020,MLB,TRUE
,,,,,,
9,Los Angeles,714493703.5,9968969,2020,NBA,TRUE
,,,,,,
10,Los Angeles,574263725,9917885,2010,NBA,TRUE
,,,,,,
11,Los Angeles,562487797,9881323,2009,NBA,TRUE
,,,,,,
12,Los Angeles,490762578,9734137,2002,NBA,TRUE
,,,,,,
13,Los Angeles,477951350,9642296,2001,NBA,TRUE
,,,,,,
14,Los Angeles,490400947.6,9542100,2000,NBA,TRUE
,,,,,,
15,Los Angeles,726943301,10011602,2019,NFL,FALSE
,,,,,,
16,Los Angeles,708846321,10061533,2018,MLB,FALSE
,,,,,,
17,Los Angeles,697593991,10092365,2017,MLB,FALSE
,,,,,,
18,Los Angeles,628691886,10033449,2014,NHL,TRUE
,,,,,,
19,Los Angeles,592432839,9931394,2012,NHL,TRUE
,,,,,,
20,Los Angeles,628691886,10033449,2014,MLS,TRUE
,,,,,,
21,Los Angeles,592432839,9931394,2012,MLS,TRUE
,,,,,,
22,Los Angeles,586247485,9873700,2011,MLS,TRUE
,,,,,,
23,Los Angeles,548417062,9846755,2005,MLS,TRUE
,,,,,,
24,Los Angeles,490762578,9734137,2002,MLS,TRUE
,,,,,,
25,Los Angeles,562487797,9881323,2009,MLS,FALSE
,,,,,,
26,Los Angeles,477951350,9642296,2001,MLS,FALSE
,,,,,,
27,Los Angeles,589103804,9820942,2008,NBA,FALSE
,,,,,,
28,Los Angeles,531883740,9843680,2004,NBA,FALSE
,,,,,,
29,San Francisco,174177143.1,870561,2020,NFL,FALSE
,,,,,,
30,San Francisco,117666343,839695,2013,NFL,FALSE
,,,,,,
31,San Francisco,178505659,878826,2019,NBA,FALSE
,,,,,,
32,San Francisco,147660656,871343,2016,NBA,FALSE
,,,,,,
33,San Francisco,168714493,879676,2018,NBA,TRUE
,,,,,,
34,San Francisco,159658493,877471,2017,NBA,TRUE
,,,,,,
35,San Francisco,136344642,863237,2015,NBA,TRUE
,,,,,,
36,San Francisco,126869443,850918,2014,MLB,TRUE
,,,,,,
37,San Francisco,112935708,828963,2012,MLB,TRUE
,,,,,,
38,San Francisco,96688655,775096,2010,MLB,TRUE
,,,,,,
39,San Francisco,87572070,766862,2002,MLB,FALSE
,,,,,,
40,San Jose,263792340,1928144,2016,NHL,FALSE
,,,,,,
41,San Jose,117161316,1673249,2003,MLS,TRUE
,,,,,,
42,San Jose,115748187,1691870,2001,MLS,TRUE
,,,,,,
43,Oakland,86554424,1455088,2003,NFL,FALSE
,,,,,,
44,Denver,64967855,696273,2016,NFL,TRUE
,,,,,,
45,Denver,60109209,664540,2014,NFL,FALSE
,,,,,,
46,Denver,52645660,625532,2010,MLS,TRUE
,,,,,,
47,Denver,55935372,581784,2007,MLB,FALSE
,,,,,,
48,Denver,56199083,565114,2001,NHL,TRUE
,,,,,,
49,Miami,149301921.7,2710533,2020,NBA,FALSE
,,,,,,
50,Miami,127701649,2634056,2014,NBA,FALSE
,,,,,,
51,Miami,118677580,2544511,2011,NBA,FALSE
,,,,,,
52,Miami,123113842,2609570,2013,NBA,TRUE
,,,,,,
53,Miami,118261534,2576473,2012,NBA,TRUE
,,,,,,
54,Miami,126037212,2371106,2006,NBA,TRUE
,,,,,,
55,Miami,108967798,2304852,2002,CF,FALSE
,,,,,,
56,Miami,105879202,2281710,2001,CF,TRUE
,,,,,,
57,Orlando,66662156,4898373,2009,NBA,FALSE
,,,,,,
58,Tallahassee,12729348,298625,2013,CF,TRUE
,,,,,,
59,Tallahassee,12141359.5,255839,2000,CF,FALSE
,,,,,,
60,Atlanta,156828058,1235168,2018,MLS,TRUE
,,,,,,
61,Atlanta,149666070,1223973,2017,NFL,FALSE
,,,,,,
62,Athens,7029211,190418,2017,CF,FALSE
,,,,,,
63,Chicago,353293447,5290754,2016,MLB,TRUE
,,,,,,
64,Chicago,338663446,5332222,2005,MLB,TRUE
,,,,,,
65,Chicago,352890055,5310360,2015,NHL,TRUE
,,,,,,
66,Chicago,336312659,5318816,2013,NHL,TRUE
,,,,,,
67,Chicago,321574747,5364972,2010,NHL,TRUE
,,,,,,
68,Chicago,340489705,5298548,2007,NFL,FALSE
,,,,,,
69,Chicago,323688497,5397294,2003,MLS,FALSE
,,,,,,
70,Chicago,326447504.2,5440084,2000,MLS,FALSE
,,,,,,
71,Indianapolis,83900159,1927502,2010,NFL,FALSE
,,,,,,
72,Indianapolis,80124298,1895864,2007,NFL,TRUE
,,,,,,
73,New Orleans,27940922,362595,2010,NFL,TRUE
,,,,,,
74,Baton Rouge,36124993,441471,2019,CF,TRUE
,,,,,,
75,Baton Rouge,29951180,431878,2007,CF,TRUE
,,,,,,
76,Baton Rouge,26631398,412403,2003,CF,TRUE
,,,,,,
77,Baton Rouge,33146389,441627,2011,CF,FALSE
,,,,,,
78,Boston,114696871,2376517,2019,NFL,TRUE
,,,,,,
79,Boston,109294494,2375359,2017,NFL,TRUE
,,,,,,
80,Boston,101802535,2363364,2015,NFL,TRUE
,,,,,,
81,Boston,91101126,2216540,2005,NFL,TRUE
,,,,,,
82,Boston,88051123,2224676,2004,NFL,TRUE
,,,,,,
83,Boston,85875485,2216972,2002,NFL,TRUE
,,,,,,
84,Boston,114696871,2376517,2019,NHL,FALSE
,,,,,,
85,Boston,95490929,2346084,2013,NHL,FALSE
,,,,,,
86,Boston,113397072,2377433,2018,NFL,FALSE
,,,,,,
87,Boston,96330303,2333708,2012,NFL,FALSE
,,,,,,
88,Boston,85560148,2222424,2008,NFL,FALSE
,,,,,,
89,Boston,113397072,2377433,2018,MLB,TRUE
,,,,,,
90,Boston,95490929,2346084,2013,MLB,TRUE
,,,,,,
91,Boston,87611572,2213280,2007,MLB,TRUE
,,,,,,
92,Boston,88051123,2224676,2004,MLB,TRUE
,,,,,,
93,Boston,96637902,2356642,2014,MLS,FALSE
,,,,,,
94,Boston,87611572,2213280,2007,MLS,FALSE
,,,,,,
95,Boston,87516116,2211863,2006,MLS,FALSE
,,,,,,
96,Boston,91101126,2216540,2005,MLS,FALSE
,,,,,,
97,Boston,85875485,2216972,2002,MLS,FALSE
,,,,,,
98,Boston,91696467,2321003,2011,NHL,TRUE
,,,,,,
99,Boston,90260476,2246183,2010,NBA,FALSE
,,,,,,
100,Boston,85560148,2222424,2008,NBA,TRUE
,,,,,,
101,Baltimore,102974672,2092000,2013,NFL,TRUE
,,,,,,
102,Baltimore,169217635,2247000,2001,NFL,TRUE
,,,,,,
103,Detroit,82938171,2449342,2012,MLB,FALSE
,,,,,,
104,Detroit,91465734,2600257,2006,MLB,FALSE
,,,,,,
105,Detroit,74922059,2516023,2009,NHL,FALSE
,,,,,,
106,Detroit,84809838,2540485,2008,NHL,TRUE
,,,,,,
107,Detroit,89073982,2671605,2002,NHL,TRUE
,,,,,,
108,Detroit,92363394,2622968,2005,NBA,FALSE
,,,,,,
109,Detroit,91165220,2641856,2004,NBA,TRUE
,,,,,,
110,St Louis,72235760,1495566,2019,NHL,TRUE
,,,,,,
111,St Louis,68058446,1519873,2013,MLB,FALSE
,,,,,,
112,St Louis,66203443,1533132,2004,MLB,FALSE
,,,,,,
113,St Louis,67433307,1520001,2011,MLB,TRUE
,,,,,,
114,St Louis,66376410,1512550,2006,MLB,TRUE
,,,,,,
115,St Louis,64536941,1550911,2002,NFL,FALSE
,,,,,,
116,St Louis,64104045,1563773,2000,NFL,TRUE
,,,,,,
117,Kansas City,59336051.15,2960784,2020,NFL,TRUE
,,,,,,
118,Kansas City,55975334,2860364,2015,MLB,TRUE
,,,,,,
119,Kansas City,54429697,2840037,2014,MLB,FALSE
,,,,,,
120,Kansas City,53596025,2824775,2013,MLS,TRUE
,,,,,,
121,Kansas City,51667369.85,2522922,2000,MLS,TRUE
,,,,,,
122,Kansas City,52845447,2616296,2004,MLS,FALSE
,,,,,,
123,Charlotte,91539788,1088871,2016,NFL,FALSE
,,,,,,
124,Charlotte,65636523,809442,2004,NFL,FALSE
,,,,,,
125,Las Vegas,107500238,3154482,2018,NHL,FALSE
,,,,,,
126,New York City,797036410,28752318,2015,MLB,FALSE
,,,,,,
127,New York City,601407000,27703319,2003,MLB,FALSE
,,,,,,
128,New York City,625995340,27686032,2001,MLB,FALSE
,,,,,,
129,New York City,638875293,27599619,2000,MLB,FALSE
,,,,,,
130,New York City,779408301,28715058,2014,NHL,FALSE
,,,,,,
131,New York City,752169509,28545379,2012,NHL,FALSE
,,,,,,
132,New York City,625995340,27686032,2001,NHL,FALSE
,,,,,,
133,New York City,752169509,28545379,2012,NFL,TRUE
,,,,,,
134,New York City,632329780,27517230,2008,NFL,TRUE
,,,,,,
135,New York City,671388080,27621776,2009,MLB,TRUE
,,,,,,
136,New York City,638875293,27599619,2000,MLB,TRUE
,,,,,,
137,New York City,632329780,27517230,2008,MLS,FALSE
,,,,,,
138,New York City,601407000,27703319,2003,NBA,FALSE
,,,,,,
139,New York City,609311150,27712259,2002,NBA,FALSE
,,,,,,
140,New York City,601407000,27703319,2003,NHL,TRUE
,,,,,,
141,New York City,638875293,27599619,2000,NHL,TRUE
,,,,,,
142,New York City,625995340,27686032,2001,NFL,FALSE
,,,,,,
143,Cleveland,86762595,1241788,2018,NBA,FALSE
,,,,,,
144,Cleveland,84385012,1247808,2017,NBA,FALSE
,,,,,,
145,Cleveland,82816568,1259109,2015,NBA,FALSE
,,,,,,
146,Cleveland,84228811,1300523,2007,NBA,FALSE
,,,,,,
147,Cleveland,83020201,1254324,2016,MLB,FALSE
,,,,,,
148,Cleveland,83020201,1254324,2016,NBA,TRUE
,,,,,,
149,Columbus,100689281.3,5454273,2020,CF,FALSE
,,,,,,
150,Columbus,81596472,4922160,2007,CF,FALSE
,,,,,,
151,Columbus,80414115,4879559,2006,CF,FALSE
,,,,,,
152,Columbus,100689281.3,5454273,2020,MLS,TRUE
,,,,,,
153,Columbus,81016381,4968048,2008,MLS,TRUE
,,,,,,
154,Columbus,95896537,5297782,2015,MLS,FALSE
,,,,,,
155,Columbus,94223997,5263188,2014,CF,TRUE
,,,,,,
156,Columbus,75435780,4716294,2002,CF,TRUE
,,,,,,
157,Oklahoma City,63127751,5057489,2012,NBA,FALSE
,,,,,,
158,Portland,61988262,809448,2018,MLS,FALSE
,,,,,,
159,Portland,53222514,790723,2015,MLS,TRUE
,,,,,,
160,Eugene,12980087,359939,2014,CF,FALSE
,,,,,,
161,Eugene,12597100,354528,2010,CF,FALSE
,,,,,,
162,Nashville,60762154,853297,2017,NHL,FALSE
,,,,,,
163,Dallas,329107918.6,4772959,2020,NHL,FALSE
,,,,,,
164,Dallas,205300724.5,3231483,2000,NHL,FALSE
,,,,,,
165,Dallas,247072861,4046965,2011,NBA,TRUE
,,,,,,
166,Dallas,236194624,4028717,2010,MLS,FALSE
,,,,,,
167,Dallas,232072066,3702788,2006,NBA,FALSE
,,,,,,
168,Houston,432465552,9857636,2019,MLB,FALSE
,,,,,,
169,Houston,294000962,7737904,2005,MLB,FALSE
,,,,,,
170,Houston,414239096,9702500,2017,MLB,TRUE
,,,,,,
171,Houston,369123365,8997306,2012,MLS,FALSE
,,,,,,
172,Houston,354746236,8854354,2011,MLS,FALSE
,,,,,,
173,Houston,340586678,8008615,2007,MLS,TRUE
,,,,,,
174,Houston,313880348,7892989,2006,MLS,TRUE
,,,,,,
175,San Antonio,82825816,1857977,2014,NBA,TRUE
,,,,,,
176,San Antonio,72992061,1592798,2007,NBA,TRUE
,,,,,,
177,San Antonio,67476912,1514292,2005,NBA,TRUE
,,,,,,
178,San Antonio,63219283,1461002,2003,NBA,TRUE
,,,,,,
179,San Antonio,79541386,1821354,2013,NBA,FALSE
,,,,,,
180,Arlington,88591133,1848598,2011,MLB,FALSE
,,,,,,
181,Arlington,87659754,1827214,2010,MLB,FALSE
,,,,,,
182,Salt Lake City,68601136,1079661,2013,MLS,FALSE
,,,,,,
183,Salt Lake City,61430547,1018847,2009,MLS,TRUE
,,,,,,
184,Seattle,287144969.6,2344791,2020,MLS,FALSE
,,,,,,
185,Seattle,256067584,2278434,2017,MLS,FALSE
,,,,,,
186,Seattle,294329768,2324065,2019,MLS,TRUE
,,,,,,
187,Seattle,240149410,2240677,2016,MLS,TRUE
,,,,,,
188,Seattle,229721323,2199704,2015,NFL,FALSE
,,,,,,
189,Seattle,167978707,1893955,2006,NFL,FALSE
,,,,,,
190,Seattle,218470774,2158157,2014,NFL,TRUE
,,,,,,
191,Green Bay,14568289,430749,2011,NFL,TRUE
,,,,,,
192,Philadelphia,105703235,1586422,2018,NFL,TRUE
,,,,,,
193,Philadelphia,90876161,1476001,2010,NHL,FALSE
,,,,,,
194,Philadelphia,88891613,1469192,2009,MLB,FALSE
,,,,,,
195,Philadelphia,92912706,1459979,2008,MLB,TRUE
,,,,,,
196,Philadelphia,78018970,1466715,2005,NFL,FALSE
,,,,,,
197,Philadelphia,71022914,1500165,2001,NBA,FALSE
,,,,,,
198,Toronto,430405774,6139000,2019,NBA,TRUE
,,,,,,
199,Toronto,430405774,6139000,2019,MLS,FALSE
,,,,,,
200,Toronto,385934000,5938000,2016,MLS,FALSE
,,,,,,
201,Toronto,405106000,6010000,2017,MLS,TRUE
,,,,,,
202,Pittsburgh,87593885,1220423,2017,NHL,TRUE
,,,,,,
203,Pittsburgh,85781846,1226893,2016,NHL,TRUE
,,,,,,
204,Pittsburgh,75526161,1225358,2009,NHL,TRUE
,,,,,,
205,Pittsburgh,78957815,1228437,2011,NFL,FALSE
,,,,,,
206,Pittsburgh,75526161,1225358,2009,NFL,TRUE
,,,,,,
207,Pittsburgh,72693327,1229542,2006,NFL,TRUE
,,,,,,
208,Pittsburgh,76377174,1224542,2008,NHL,FALSE
,,,,,,
209,Washington DC,123929268,1416506,2019,MLB,TRUE
,,,,,,
210,Washington DC,122661859,1408294,2018,NHL,TRUE
,,,,,,
211,Washington DC,97904523,1122950,2004,MLS,TRUE
,,,,,,
212,Tampa Bay,83331878.75,1912210,2020,MLB,FALSE
,,,,,,
213,Tampa Bay,67475523,1591183,2008,MLB,FALSE
,,,,,,
214,Tampa Bay,83331878.75,1912210,2020,NHL,TRUE
,,,,,,
215,Tampa Bay,63631607,1501217,2004,NHL,TRUE
,,,,,,
216,Tampa Bay,74101494,1773874,2015,NHL,FALSE
,,,,,,
217,Tampa Bay,59252571,1468044,2003,NFL,TRUE
,,,,,,
218,Edmonton,59000000,1038000,2006,NHL,FALSE
,,,,,,
219,Ottawa,60000000,1156000,2007,NHL,FALSE
,,,,,,
220,Vancouver,11039500000,2317000,2011,NHL,FALSE
,,,,,,
221,Calgary,53000000,1030000,2004,NHL,FALSE
,,,,,,
222,Auburn,4700023,1154967,2013,CF,FALSE
,,,,,,
223,Auburn,4104610,935130,2010,CF,TRUE
,,,,,,
224,Clemson,3743723,179562,2019,CF,FALSE
,,,,,,
225,Clemson,3190482,172564,2015,CF,FALSE
,,,,,,
226,Clemson,3629940,177164,2018,CF,TRUE
,,,,,,
227,Clemson,3411266,174171,2016,CF,TRUE
,,,,,,
228,na,None,490374584,2012,CF,FALSE
,,,,,,
229,na,None,470404778,2009,CF,FALSE
,,,,,,
230,na,None,466697681,2008,CF,FALSE
,,,,,,
231,na,None,453231161,2005,CF,FALSE
,,,,,,
232,na,None,448697524,2004,CF,FALSE
,,,,,,
233,na,None,444100353,2003,CF,FALSE
,,,,,,
234,na,None,435482415,2001,CF,FALSE
,,,,,,
235,na,None,470404778,2009,NFL,FALSE
,,,,,,
236,na,None,430964899,2000,NFL,FALSE
,,,,,,
237,na,None,466697681,2008,CF,TRUE
,,,,,,
238,na,None,458047335,2006,CF,TRUE
,,,,,,
239,na,None,453231161,2005,CF,TRUE
,,,,,,
240,na,None,448697524,2004,CF,TRUE
,,,,,,
241,na,None,430964899,2000,CF,TRUE
,,,,,,
242,na,None,462491069,2007,NHL,TRUE
,,,,,,
243,na,None,458047335,2006,NHL,TRUE
,,,,,,
244,na,None,453231161,2005,NHL,TRUE
,,,,,,
245,na,None,453231161,2005,NHL,FALSE
,,,,,,
246,na,None,444100353,2003,NHL,FALSE
,,,,,,
247,na,None,439939304,2002,NHL,FALSE
,,,,,,
248,na,None,444100353,2003,MLB,TRUE
,,,,,,
249,na,None,439939304,2002,MLB,TRUE
,,,,,,
250,na,None,435482415,2001,MLB,TRUE
,,,,,,
251,Portland,430964899,528820,2000,NBA,FALSE
